Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason
p027,A07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,ECA2666,1,,
p027,B07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,JU3237,1,,
p027,C07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,VX34,1,,
p027,D07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,NIC1667,1,,
p027,E07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,PB420,1,,
p027,F07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,ED3102,1,,
p027,A08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,ECA2666,1,,
p027,B08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,JU3237,1,,
p027,C08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,VX34,1,,
p027,D08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,NIC1667,1,,
p027,E08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,PB420,1,,
p027,F08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,ED3102,1,,
p027,A09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,ECA2666,1,,
p027,B09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,JU3237,1,,
p027,C09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,VX34,1,,
p027,D09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,NIC1667,1,,
p027,E09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,PB420,1,,
p027,F09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,ED3102,1,,
p027,A10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,ECA2666,1,,
p027,B10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,JU3237,1,,
p027,C10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,VX34,1,,
p027,D10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,NIC1667,1,,
p027,E10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,PB420,1,,
p027,F10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,ED3102,1,,
p027,A11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,ECA2666,1,,
p027,B11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,JU3237,1,,
p027,C11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,VX34,1,,
p027,D11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,NIC1667,1,,
p027,E11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,PB420,1,,
p027,F11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,ED3102,1,,
p027,A12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,ECA2666,1,,
p027,B12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,JU3237,1,,
p027,C12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,VX34,1,,
p027,D12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,NIC1667,1,,
p027,E12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,PB420,1,,
p027,F12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,ED3102,1,,
p028,A01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,ECA2666,1,,
p028,B01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,JU3237,1,,
p028,C01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,VX34,1,,
p028,D01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,NIC1667,1,,
p028,E01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,PB420,1,,
p028,F01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,ED3102,1,,
p028,A02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,ECA2666,1,,
p028,B02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,JU3237,1,,
p028,C02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,VX34,1,,
p028,D02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,NIC1667,1,,
p028,E02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,PB420,1,,
p028,F02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,ED3102,1,,
p028,A03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,ECA2666,1,,
p028,B03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,JU3237,1,,
p028,C03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,VX34,1,,
p028,D03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,NIC1667,1,,
p028,E03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,PB420,1,,
p028,F03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,ED3102,1,,
p028,A04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,ECA2666,1,,
p028,B04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,JU3237,1,,
p028,C04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,VX34,1,,
p028,D04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,NIC1667,1,,
p028,E04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,PB420,1,,
p028,F04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,ED3102,1,,
p028,A05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,ECA2666,1,,
