Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p034,A03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,ECA2666,1,,,
p034,B03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,JU3237,1,,,
p034,C03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,VX34,1,,,
p034,D03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,NIC1667,1,,,
p034,E03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,PB420,1,,,
p034,F03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,ED3102,1,,,
p034,A04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,ECA2666,1,,,
p034,B04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,JU3237,1,,,
p034,C04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,VX34,1,,,
p034,D04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,NIC1667,1,,,
p034,E04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,PB420,1,,,
p034,F04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,ED3102,1,,,
p034,A05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,ECA2666,1,,,
p034,B05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,JU3237,1,,,
p034,C05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,VX34,1,,,
p034,D05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,NIC1667,1,,,
p034,E05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,PB420,1,,,
p034,F05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,ED3102,1,,,
p034,A06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,ECA2666,1,,,
p034,B06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,JU3237,1,,,
p034,C06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,VX34,1,,,
p034,D06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,NIC1667,1,,,
p034,E06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,PB420,1,,,
p034,F06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,ED3102,1,,,
p034,A07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,ECA2666,1,,,
p034,B07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,JU3237,1,,,
p034,C07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,VX34,1,,,
p034,D07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,NIC1667,1,,,
p034,E07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,PB420,1,,,
p034,F07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,ED3102,1,,,
p034,A08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,ECA2666,1,,,
p034,B08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,JU3237,1,,,
p034,C08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,VX34,1,,,
p034,D08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,NIC1667,1,,,
p034,E08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,PB420,1,,,
p034,F08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,ED3102,1,,,
p034,A09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,ECA2666,1,,,
p034,B09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,JU3237,1,,,
p034,C09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,VX34,1,,,
